gen,best,mean,entropy,t,noise,alpha,stagn,accept_rate,succ_rand1,succ_current_pc,succ_current_rand
124,1.69693089805907e-05,4.325958486674625,0.09820888553319602,0.85,0.01314111488359735,0.24997878836382517,114,0.0,4,6,6
125,1.69693089805907e-05,5.718527620695204,0.1735396276166992,0.85,0.013126113610899182,0.24997878836382517,115,0.0,4,6,6
126,1.69693089805907e-05,4.653903332492354,0.21838379595230656,0.8492,0.008740741558800672,0.24997878836382517,116,0.0,4,6,6
127,1.69693089805907e-05,5.969735041004246,0.13932771459444432,0.85,0.013096111065502838,0.24997878836382517,117,0.0,4,6,6
128,1.69693089805907e-05,2.5493646846332276,0.2192213610567392,0.8475999999999999,0.008720739861869779,0.24997878836382517,118,0.0,4,6,6
129,1.69693089805907e-05,3.6077158326537537,0.09141127058129687,0.85,0.013066108520106498,0.24997878836382517,119,0.0,4,6,6
130,1.69693089805907e-05,5.544017827569405,0.14766104793012347,0.85,0.013051107247408326,0.24997878836382517,120,0.0,4,6,6
131,1.69693089805907e-05,3.6835606740668623,0.18433992143718522,0.8452000000000001,0.008690737316473438,0.24997878836382517,121,0.0,4,6,6
132,1.69693089805907e-05,8.162735247488534,0.15182771459278332,0.85,0.013021104702011987,0.24997878836382517,122,0.0,4,6,6
133,1.69693089805907e-05,2.4469741067172674,0.2849133169605999,0.8436,0.008670735619542545,0.24997878836382517,123,0.0,4,6,6
134,1.69693089805907e-05,2.2739448921236733,0.09141127057169723,0.85,0.012991102156615643,0.24997878836382517,124,0.0,4,6,6
135,1.69693089805907e-05,4.3098838754567455,0.195874989198049,0.842,0.00865073392261165,0.24997878836382517,125,0.0,4,6,6
136,1.69693089805907e-05,3.259429700008801,0.17770629429701537,0.85,0.012961099611219305,0.24997878836382517,126,0.0,4,6,6
137,1.69693089805907e-05,4.665616747761997,0.1735396276215989,0.85,0.012946098338521136,0.24997878836382517,127,0.0,4,6,6
138,1.69693089805907e-05,3.286948649665206,0.16268367112232202,0.85,0.012931097065822964,0.24997878836382517,128,0.0,4,6,6
139,1.69693089805907e-05,6.165591636353129,0.149059735930837,0.85,0.012916095793124792,0.24997878836382517,129,0.0,4,6,6
140,1.69693089805907e-05,2.5237959702544726,0.21922136105835247,0.838,0.008600729680284415,0.24997878836382517,130,0.0,4,6,6
141,1.69693089805907e-05,3.648066699712872,0.18508901883500906,0.8371999999999999,0.008590728831818968,0.24997878836382517,131,0.0,4,6,6
142,1.69693089805907e-05,1.8570685546355945,0.1476610479298446,0.85,0.012871091975030283,0.24997878836382517,132,0.0,4,6,6
143,1.69693089805907e-05,2.5328918541441516,0.1133398337872866,0.85,0.01285609070233211,0.24997878836382517,133,0.0,4,6,6
