gen,best,mean,entropy,t,noise,alpha,stagn,accept_rate,succ_rand1,succ_current_pc,succ_current_rand
91,2.8591040646119836e-10,0.05921743570257791,0.24892624820371645,0.85,0.009090000012994629,0.249999999642612,71,0.0,4,6,4
92,2.8591040646119836e-10,0.0777520840778849,0.2439798202822068,0.85,0.009080000012980333,0.249999999642612,72,0.0,4,6,4
93,2.8591040646119836e-10,0.015282987619336797,0.27851326048410774,0.85,0.009070000012966036,0.249999999642612,73,0.0,4,6,4
94,2.8591040646119836e-10,0.07208619069981845,0.11223864420256086,0.85,0.013590000019427614,0.249999999642612,74,0.0,4,6,4
95,2.8591040646119836e-10,0.09772367001226222,0.28502162746370163,0.85,0.009050000012937447,0.249999999642612,75,0.0,4,6,4
96,2.8591040646119836e-10,0.04064328337083662,0.2743465938151522,0.85,0.009040000012923152,0.249999999642612,76,0.0,4,6,4
97,2.8591040646119836e-10,0.09429887986875043,0.16268367118435195,0.85,0.013545000019363282,0.249999999642612,77,0.0,4,6,4
98,2.8591040646119836e-10,0.03916810388982211,0.21421712934119191,0.85,0.009020000012894559,0.249999999642612,78,0.0,4,6,4
99,2.8591040646119836e-10,0.1046937160455483,0.11750650050417107,0.85,0.013515000019320397,0.249999999642612,79,0.0,4,6,4
100,2.8591040646119836e-10,0.04602702418106306,0.2727137952283046,0.85,0.00900000001286597,0.249999999642612,80,0.0,4,6,4
101,2.8591040646119836e-10,0.06110741718128989,0.14766104799969046,0.85,0.013485000019277509,0.249999999642612,81,0.0,4,6,4
102,2.8591040646119836e-10,0.06476307306799477,0.15182771464586714,0.85,0.013470000019256065,0.249999999642612,82,0.0,4,6,4
103,2.8591040646119836e-10,0.06763108237089595,0.25466559712183606,0.85,0.008970000012823082,0.249999999642612,83,0.0,4,6,4
104,2.8591040646119836e-10,0.08474825365735324,0.17765063163633868,0.85,0.01344000001921318,0.249999999642612,84,0.0,4,6,4
105,2.8591040646119836e-10,0.029253941333734698,0.2826799271524982,0.85,0.00895000001279449,0.249999999642612,85,0.0,4,6,4
106,2.8591040646119836e-10,0.04327430270763918,0.17770629434833804,0.85,0.013410000019170292,0.249999999642612,86,0.0,4,6,4
107,2.8591040646119836e-10,0.07994476886220155,0.20505803903699557,0.85,0.0089300000127659,0.249999999642612,87,0.0,4,6,4
108,2.8591040646119836e-10,0.0559406807695457,0.21421712934831114,0.85,0.008920000012751604,0.249999999642612,88,0.0,4,6,4
109,2.8591040646119836e-10,0.07179261273235596,0.1985717647597831,0.85,0.008910000012737309,0.249999999642612,89,0.0,4,6,4
110,2.8591040646119836e-10,0.03761950697480758,0.26418783807198687,0.85,0.008900000012723014,0.249999999642612,90,0.0,4,6,4
111,2.8591040646119836e-10,0.047392069327478616,0.10237555222150489,0.85,0.013335000019063075,0.249999999642612,91,0.0,4,6,4
112,2.8591040646119836e-10,0.019643508728749978,0.22755469442585607,0.85,0.008880000012694423,0.249999999642612,92,0.0,4,6,4
113,2.8591040646119836e-10,0.05345855140280368,0.10654221888109394,0.85,0.01330500001902019,0.249999999642612,93,0.0,4,6,4
114,2.8591040646119836e-10,0.07686903915644493,0.19930688195719273,0.85,0.00886000001266583,0.249999999642612,94,0.0,4,6,4
115,2.8591040646119836e-10,0.031091591729387837,0.27779243662538855,0.85,0.008850000012651536,0.249999999642612,95,0.0,4,6,4
116,2.8591040646119836e-10,0.10303662732174237,0.14349438128221534,0.85,0.01326000001895586,0.249999999642612,96,0.0,4,6,4
117,2.8591040646119836e-10,0.010508490155815264,0.2504989304746496,0.85,0.008830000012622945,0.249999999642612,97,0.0,4,6,4
118,2.8591040646119836e-10,0.07175272463238783,0.14766104799861876,0.85,0.013230000018912972,0.249999999642612,98,0.0,4,6,4
119,2.8591040646119836e-10,0.07244883071036316,0.19356753298952603,0.85,0.008810000012594353,0.249999999642612,99,0.0,4,6,4
120,2.8591040646119836e-10,0.0488848686275417,0.18850658814110727,0.85,0.008800000012580059,0.249999999642612,100,0.0,4,6,4
121,2.8591040646119836e-10,0.03188987817795038,0.16931729831378453,0.85,0.013185000018848645,0.249999999642612,101,0.0,4,6,4
122,2.8591040646119836e-10,0.03261098411414057,0.12167316718777382,0.85,0.0131700000188272,0.249999999642612,102,0.0,4,6,4
123,2.8591040646119836e-10,0.06514948347762044,0.1661346159688077,0.85,0.013155000018805757,0.249999999642612,103,0.0,4,6,4
124,2.8591040646119836e-10,0.07109343543095019,0.28267992714573126,0.85,0.008760000012522876,0.249999999642612,104,0.0,4,6,4
125,2.8591040646119836e-10,0.02563435259379459,0.3093356722567114,0.85,0.008750000012508582,0.249999999642612,105,0.0,4,6,4
126,2.8591040646119836e-10,0.02364125250924221,0.11997544915437036,0.85,0.013110000018741427,0.249999999642612,106,0.0,4,6,4
127,2.8591040646119836e-10,0.08286753872877885,0.09141127064223357,0.85,0.013095000018719983,0.249999999642612,107,0.0,4,6,4
128,2.8591040646119836e-10,0.03491034569836035,0.23564648694467152,0.8475999999999999,0.008720000012465694,0.249999999642612,108,0.0,4,6,4
129,2.8591040646119836e-10,0.05698732870640146,0.16268367115195514,0.85,0.013065000018677098,0.249999999642612,109,0.0,4,6,4
130,2.8591040646119836e-10,0.05743115307463321,0.32045927195992646,0.8459999999999999,0.008700000012437103,0.249999999642612,110,0.0,4,6,4
131,2.8591040646119836e-10,0.05071300294304501,0.20847778038152512,0.8452000000000001,0.008690000012422807,0.249999999642612,111,0.0,4,6,4
132,2.8591040646119836e-10,0.012348735562023842,0.14349438132515335,0.85,0.013020000018612768,0.249999999642612,112,0.0,4,6,4
